%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1654093478385817275,0,-0.002449387770432687,0.004468578296703274,-0.002206320291037067,0.0042971432864011005,-0.003148407988495888,0.004268570784684067,-0.0025548243260645545,0.004445304451407978,-0.0020467234181833494,0.0045865572415865405,-0.003254246973729391,0.004725428989955357,-0.0015278575184580756,0.0048675537109375,-0.002793867509443687,0.004911686823918272
1654093478439859189,0,-0.004685253101390785,0.010358470874828274,-0.004239830603966321,0.009958724137190927,-0.006087351369333777,0.010077373798076938,-0.005082484654017852,0.010274765517685441,-0.003915069915436109,0.010040953919127751,-0.006241817264766469,0.010712843674879808,-0.0028179126781421315,0.010807112809065933,-0.005305229438530221,0.011044110308636678
1654093478485701153,0,-0.004685253101390785,0.010358470874828274,-0.004239830603966321,0.009958724137190927,-0.006087351369333777,0.010077373798076938,-0.005082484654017852,0.010274765517685441,-0.003915069915436109,0.010040953919127751,-0.006241817264766469,0.010712843674879808,-0.0028179126781421315,0.010807112809065933,-0.005305229438530221,0.011044110308636678
1654093478540488370,0,-0.009247999924879818,0.02516694121308377,-0.008450384454412763,0.02451641376201924,-0.011593326107486257,0.02585100446428573,-0.009566556490384612,0.02487095424107144,-0.007214623755151084,0.024770279769059073,-0.012176312457074151,0.027146056458190248,-0.004910412463513036,0.0264115218277816,-0.009990516075721156,0.027012818724244506
1654093478587873651,0,-0.011399589790092729,0.03390938895089285,-0.01045850816663807,0.03315597366500689,-0.01423782516311814,0.03511842161744505,-0.012034321879292577,0.03433576311383929,-0.008558269123454643,0.034027166680975274,-0.014717454176682687,0.03682576273823832,-0.005740893018114701,0.035226373358087225,-0.012152636182177198,0.03660506363753434
1654093478618491566,0,-0.013652189485319377,0.04381740695827607,-0.01251059731284343,0.042761029253949145,-0.016773735297905212,0.04552384261246567,-0.014141376201923073,0.044265914749313184,-0.009853958297561805,0.043890045501373626,-0.017149872832245866,0.04723037887405563,-0.006412413880065249,0.04519163697630495,-0.014194295694539838,0.04666352324433379
1654093478662836959,0,-0.015983665382469092,0.05413751287774721,-0.014697332696600285,0.05276884980254121,-0.019223592569539844,0.056325254335508224,-0.01616090208619505,0.05466214693509616,-0.011362599802541173,0.05397352281507556,-0.019656472677712894,0.058434086055546015,-0.007046307574261668,0.055647730565333106,-0.016187194153502747,0.057335419707245885
1654093478708784555,0,-0.018294181404532955,0.06512471293355082,-0.016876924954927874,0.06341955163976648,-0.021667010967548084,0.06773091410542581,-0.018310345660199172,0.0655942141354739,-0.012890591464199852,0.06463750482915523,-0.02182516580099586,0.06943872472742102,-0.00757888961624309,0.0663060785649897,-0.01794856144831731,0.06822315257984203
1654093478762451566,0,-0.020347310160542587,0.07631467043698487,-0.01895544031164148,0.0743800571986607,-0.023824033632383224,0.07941746973729397,-0.020215044964800824,0.07668564345810439,-0.014276391333276073,0.07521013532366072,-0.02412075839199862,0.08063887711409684,-0.00815044025798417,0.07733254904275412,-0.0196424547132555,0.07952619280133928
1654093478808179033,0,-0.022239400004292587,0.08734251588255493,-0.020743200281164165,0.0855375520475618,-0.02603370750343406,0.09129410628434065,-0.022057568895947795,0.08795575152386675,-0.014968301961710118,0.08610336806747941,-0.026224593277815927,0.09267232706258585,-0.008562796456473176,0.0886677500965831,-0.021309049836881873,0.0913449465573489
