%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1653385398610260295,1500,1500,1413,1439,1518,1500,1500,1500
1653385398621896481,1500,1500,1413,1439,1518,1500,1500,1500
1653385398628854462,1500,1500,1413,1439,1518,1500,1500,1500
1653385398654539173,1500,1500,1413,1439,1518,1500,1500,1500
1653385398660516319,1500,1500,1413,1439,1518,1500,1500,1500
1653385398687537574,1500,1500,1413,1439,1518,1500,1500,1500
1653385398691870219,1500,1500,1413,1439,1518,1500,1500,1500
1653385398706541662,1500,1500,1413,1439,1518,1500,1500,1500
1653385398719669675,1500,1500,1413,1439,1518,1500,1500,1500
1653385398723123357,1500,1500,1413,1439,1518,1500,1500,1500
1653385398754444038,1500,1500,1413,1439,1518,1500,1500,1500
1653385398758778795,1500,1500,1413,1439,1518,1500,1500,1500
1653385398768333443,1500,1500,1413,1439,1518,1500,1500,1500
1653385398791157367,1500,1500,1413,1439,1518,1500,1500,1500
1653385398796552307,1500,1500,1413,1439,1518,1500,1500,1500
1653385398819484028,1500,1500,1413,1439,1518,1500,1500,1500
1653385398825497571,1500,1500,1413,1439,1518,1500,1500,1500
1653385398851328656,1500,1500,1413,1439,1518,1500,1500,1500
1653385398858603418,1500,1500,1412,1439,1518,1500,1500,1500
1653385398868747378,1500,1500,1412,1439,1518,1500,1500,1500
1653385398887192914,1500,1500,1412,1439,1518,1500,1500,1500
1653385398891203019,1500,1500,1412,1439,1518,1500,1500,1500
1653385398919343702,1500,1500,1412,1439,1518,1500,1500,1500
1653385398927329723,1500,1500,1412,1439,1518,1500,1500,1500
1653385398933725244,1500,1500,1412,1439,1518,1500,1500,1500
1653385398951594767,1500,1500,1412,1439,1518,1500,1500,1500
1653385398956081488,1500,1500,1413,1439,1518,1500,1500,1500
1653385398984286057,1500,1500,1413,1439,1518,1500,1500,1500
1653385398990575875,1500,1500,1413,1439,1518,1500,1500,1500
1653385399018186376,1500,1500,1413,1439,1518,1500,1500,1500
1653385399025753393,1500,1500,1413,1439,1518,1500,1500,1500
1653385399033168473,1500,1500,1413,1439,1517,1500,1500,1500
1653385399049291944,1500,1500,1413,1439,1517,1500,1500,1500
1653385399056412960,1500,1500,1414,1439,1517,1500,1500,1500
1653385399084860163,1500,1500,1414,1439,1517,1500,1500,1500
1653385399092425082,1500,1500,1414,1439,1517,1500,1500,1500
1653385399107254416,1500,1500,1414,1439,1517,1500,1500,1500
1653385399118076948,1500,1500,1414,1439,1517,1500,1500,1500
1653385399120660338,1500,1500,1414,1439,1517,1500,1500,1500
1653385399148928068,1500,1500,1414,1439,1517,1500,1500,1500
1653385399152619950,1500,1500,1414,1439,1517,1500,1500,1500
1653385399182200906,1500,1500,1414,1439,1517,1500,1500,1500
1653385399188889584,1500,1500,1414,1439,1517,1500,1500,1500
1653385399189843915,1500,1500,1415,1439,1517,1500,1500,1500
1653385399218445659,1500,1500,1415,1438,1517,1500,1500,1500
1653385399225807439,1500,1500,1415,1438,1517,1500,1500,1500
1653385399248017527,1500,1500,1415,1438,1517,1500,1500,1500
1653385399250939922,1500,1500,1415,1438,1517,1500,1500,1500
1653385399269986117,1500,1500,1415,1438,1517,1500,1500,1500
1653385399281166801,1500,1500,1415,1438,1517,1500,1500,1500
1653385399285914028,1500,1500,1415,1438,1517,1500,1500,1500
1653385399314245406,1500,1500,1415,1438,1517,1500,1500,1500
1653385399320888701,1500,1500,1415,1438,1517,1500,1500,1500
1653385399351598227,1500,1500,1415,1438,1517,1500,1500,1500
1653385399351641472,1500,1500,1415,1438,1517,1500,1500,1500
1653385399363298711,1500,1500,1415,1438,1517,1500,1500,1500
1653385399381358977,1500,1500,1415,1439,1517,1500,1500,1500
1653385399387616488,1500,1500,1415,1439,1517,1500,1500,1500
1653385399414192530,1500,1500,1415,1439,1517,1500,1500,1500
1653385399420803328,1500,1500,1414,1439,1517,1500,1500,1500
1653385399426915460,1500,1500,1414,1439,1517,1500,1500,1500
1653385399447942162,1500,1500,1414,1439,1517,1500,1500,1500
1653385399449865425,1500,1500,1414,1439,1517,1500,1500,1500
1653385399480789905,1500,1500,1414,1439,1517,1500,1500,1500
1653385399486800357,1500,1500,1414,1439,1517,1500,1500,1500
1653385399512090800,1500,1500,1414,1439,1517,1500,1500,1500
1653385399518372905,1500,1500,1414,1439,1517,1500,1500,1500
1653385399522006665,1500,1500,1414,1439,1517,1500,1500,1500
1653385399548595520,1500,1500,1414,1439,1517,1500,1500,1500
1653385399549877489,1500,1500,1414,1439,1517,1500,1500,1500
1653385399578431270,1500,1500,1414,1439,1517,1500,1500,1500
1653385399584670698,1500,1500,1414,1439,1517,1500,1500,1500
1653385399586102270,1500,1500,1414,1439,1517,1500,1500,1500
1653385399611642968,1500,1500,1414,1439,1517,1500,1500,1500
1653385399619170039,1500,1500,1415,1439,1517,1500,1500,1500
1653385399644188596,1500,1500,1415,1439,1517,1500,1500,1500
1653385399650037684,1500,1500,1415,1439,1517,1500,1500,1500
1653385399678005663,1500,1500,1415,1439,1517,1500,1500,1500
1653385399682851089,1500,1500,1415,1439,1517,1500,1500,1500
1653385399685512781,1500,1500,1415,1439,1517,1500,1500,1500
1653385399710841350,1500,1500,1415,1439,1517,1500,1500,1500
1653385399715046304,1500,1500,1415,1439,1517,1500,1500,1500
1653385399743802774,1500,1500,1415,1439,1517,1500,1500,1500
1653385399751150192,1500,1500,1415,1439,1517,1500,1500,1500
1653385399761907181,1500,1500,1415,1439,1517,1500,1500,1500
1653385399778705803,1500,1500,1415,1439,1517,1500,1500,1500
1653385399784954199,1500,1500,1414,1439,1517,1500,1500,1500
1653385399810917783,1500,1500,1414,1439,1517,1500,1500,1500
1653385399813579397,1500,1500,1414,1439,1517,1500,1500,1500
1653385399841707367,1500,1500,1414,1439,1517,1500,1500,1500
1653385399844463845,1500,1500,1414,1439,1517,1500,1500,1500
1653385399849490906,1500,1500,1414,1439,1517,1500,1500,1500
1653385399878349724,1500,1500,1414,1439,1517,1500,1500,1500
1653385399882948097,1500,1500,1414,1439,1517,1500,1500,1500
1653385399908101171,1500,1500,1414,1439,1517,1500,1500,1500
1653385399911050928,1500,1500,1414,1439,1517,1500,1500,1500
1653385399923038970,1500,1500,1414,1439,1517,1500,1500,1500
1653385399942221110,1500,1500,1414,1439,1517,1500,1500,1500
1653385399948675178,1500,1500,1414,1439,1517,1500,1500,1500
1653385399974514314,1500,1500,1414,1439,1517,1500,1500,1500
1653385399981108299,1500,1500,1414,1439,1517,1500,1500,1500
1653385400009362589,1500,1500,1414,1439,1517,1500,1500,1500
1653385400014355139,1500,1500,1414,1439,1517,1500,1500,1500
1653385400018026914,1500,1500,1414,1439,1516,1500,1500,1500
1653385400038047948,1500,1500,1414,1439,1516,1500,1500,1500
1653385400042392298,1500,1500,1414,1439,1516,1500,1500,1500
1653385400073011768,1500,1500,1414,1439,1516,1500,1500,1500
1653385400079017303,1500,1500,1414,1439,1516,1500,1500,1500
1653385400107337518,1500,1500,1414,1439,1516,1500,1500,1500
1653385400110336035,1500,1500,1414,1439,1516,1500,1500,1500
1653385400133349864,1500,1500,1414,1439,1516,1500,1500,1500
1653385400138227636,1500,1500,1414,1439,1516,1500,1500,1500
1653385400145295833,1500,1500,1413,1439,1516,1500,1500,1500
1653385400170358952,1500,1500,1413,1439,1516,1500,1500,1500
1653385400178500628,1500,1500,1413,1439,1516,1500,1500,1500
1653385400206842281,1500,1500,1413,1439,1516,1500,1500,1500
1653385400210493208,1500,1500,1413,1439,1516,1500,1500,1500
1653385400213260354,1500,1500,1413,1439,1516,1500,1500,1500
1653385400238272597,1500,1500,1413,1439,1516,1500,1500,1500
1653385400241114736,1500,1500,1413,1439,1516,1500,1500,1500
1653385400270687712,1500,1500,1413,1439,1516,1500,1500,1500
1653385400279690248,1500,1500,1413,1439,1516,1500,1500,1500
1653385400304113401,1500,1500,1413,1439,1516,1500,1500,1500
1653385400308907404,1500,1500,1412,1439,1516,1500,1500,1500
1653385400310631344,1500,1500,1412,1439,1516,1500,1500,1500
1653385400336860241,1500,1500,1412,1439,1516,1500,1500,1500
1653385400341187044,1500,1500,1412,1439,1516,1500,1500,1500
1653385400368904850,1500,1500,1412,1439,1516,1500,1500,1500
1653385400372565646,1500,1500,1412,1439,1516,1500,1500,1500
1653385400403634165,1500,1500,1412,1439,1516,1500,1500,1500
1653385400407464112,1500,1500,1412,1439,1516,1500,1500,1500
1653385400432034466,1500,1500,1412,1439,1516,1500,1500,1500
1653385400435640147,1500,1500,1412,1439,1516,1500,1500,1500
1653385400441071162,1500,1500,1412,1439,1516,1500,1500,1500
1653385400469277846,1500,1500,1412,1439,1516,1500,1500,1500
1653385400475049399,1500,1500,1413,1439,1516,1500,1500,1500
1653385400496151293,1500,1500,1413,1439,1516,1500,1500,1500
1653385400500291368,1500,1500,1413,1439,1516,1500,1500,1500
1653385400505683731,1500,1500,1412,1439,1516,1500,1500,1500
1653385400535244014,1500,1500,1412,1439,1516,1500,1500,1500
1653385400542188952,1500,1500,1412,1439,1516,1500,1500,1500
1653385400567364984,1500,1500,1412,1439,1516,1500,1500,1500
1653385400571390687,1500,1500,1412,1439,1516,1500,1500,1500
1653385400595075496,1500,1500,1412,1439,1514,1500,1500,1500
1653385400602291060,1500,1500,1412,1439,1514,1500,1500,1500
1653385400608696270,1500,1500,1412,1439,1514,1500,1500,1500
1653385400634653298,1500,1500,1412,1439,1514,1500,1500,1500
1653385400640762417,1500,1500,1412,1439,1514,1500,1500,1500
1653385400668127729,1500,1500,1412,1439,1514,1500,1500,1500
1653385400671278419,1500,1500,1418,1439,1514,1500,1500,1500
1653385400677747901,1500,1500,1418,1439,1514,1500,1500,1500
1653385400700447262,1500,1500,1418,1536,1514,1500,1500,1500
1653385400703990523,1500,1500,1422,1536,1514,1500,1500,1500
1653385400734171755,1500,1500,1422,1464,1514,1500,1500,1500
1653385400741711759,1500,1500,1425,1464,1514,1500,1500,1500
1653385400758772203,1500,1500,1425,1464,1514,1500,1500,1500
1653385400768134538,1500,1500,1425,1464,1514,1500,1500,1500
1653385400772473721,1500,1500,1427,1464,1514,1500,1500,1500
1653385400800672346,1500,1500,1427,1464,1514,1500,1500,1500
1653385400807119869,1500,1500,1427,1464,1514,1500,1500,1500
1653385400832219912,1500,1500,1427,1464,1514,1500,1500,1500
1653385400836326335,1500,1500,1427,1464,1514,1500,1500,1500
1653385400837364087,1500,1500,1427,1464,1514,1500,1500,1500
1653385400868686658,1500,1500,1427,1464,1514,1500,1500,1500
1653385400872663332,1500,1500,1426,1464,1514,1500,1500,1500
1653385400898658700,1500,1500,1426,1464,1514,1500,1500,1500
1653385400900416635,1500,1500,1426,1464,1514,1500,1500,1500
1653385400913085121,1500,1500,1426,1464,1514,1500,1500,1500
1653385400932379789,1500,1500,1426,1464,1514,1500,1500,1500
1653385400939816963,1500,1500,1426,1464,1514,1500,1500,1500
1653385400963798409,1500,1500,1426,1464,1514,1500,1500,1500
1653385400968639787,1500,1500,1426,1464,1514,1500,1500,1500
1653385400993922086,1500,1500,1426,1464,1514,1500,1500,1500
1653385400996390182,1500,1500,1426,1464,1514,1500,1500,1500
1653385401004491640,1500,1500,1425,1464,1514,1500,1500,1500
1653385401030272640,1500,1500,1425,1464,1514,1500,1500,1500
1653385401032463366,1500,1500,1425,1464,1514,1500,1500,1500
1653385401064412553,1500,1500,1425,1464,1514,1500,1500,1500
1653385401069293290,1500,1500,1425,1464,1514,1500,1500,1500
1653385401074430679,1500,1500,1425,1464,1514,1500,1500,1500
1653385401097241263,1500,1500,1425,1464,1514,1500,1500,1500
1653385401101610210,1500,1500,1424,1464,1514,1500,1500,1500
1653385401130605770,1500,1500,1424,1464,1514,1500,1500,1500
1653385401134911733,1500,1500,1423,1464,1514,1500,1500,1500
1653385401156057863,1500,1500,1423,1464,1514,1500,1500,1500
1653385401162527945,1500,1500,1423,1464,1514,1500,1500,1500
1653385401168932905,1500,1500,1423,1464,1514,1500,1500,1500
1653385401197576954,1500,1500,1423,1464,1514,1500,1500,1500
1653385401206167433,1500,1500,1423,1464,1514,1500,1500,1500
1653385401230467037,1500,1500,1423,1464,1514,1500,1500,1500
1653385401232818132,1500,1500,1423,1464,1514,1500,1500,1500
1653385401251857308,1500,1500,1423,1464,1514,1500,1500,1500
