%time,field.x,field.y,field.z,field.w
1653385396145497124,-0.02034995261973472,0.014337126043668366,0.36168836430553425,-0.931966658937523
1653385396177273170,-0.020398636722564676,0.0173137587386751,0.3566362961304903,-0.9338600974774139
1653385396209196794,-0.02029728537506829,0.020656162255632902,0.35157110697317273,-0.9357131504413785
1653385396245385843,-0.019993053338832296,0.024498959148388177,0.34633387092353424,-0.9375782253603998
1653385396274477115,-0.01963578452824249,0.028037161727400884,0.3419241004781236,-0.9391039681741624
1653385396309232801,-0.019093225589806882,0.03244803591120662,0.33688392335746375,-0.9407931738088686
1653385396340946253,-0.018530352499382383,0.03671659452661634,0.3323514088379918,-0.9422584882960826
1653385396374418270,-0.01790971696866659,0.041353182511865226,0.32772640369776734,-0.9436972823175718
1653385396406703602,-0.017272615895952068,0.04603553496722594,0.3232935006693332,-0.945020475273081
1653385396441277760,-0.01659244199981309,0.051325487417834825,0.3184877362153549,-0.9463910117336402
1653385396474517430,-0.0159758335309179,0.05642429557750268,0.3139817989897191,-0.9476162205844487
1653385396506538783,-0.01542116727240317,0.06144893001752413,0.3096679989549174,-0.9487317571489401
1653385396539435048,-0.014939727926982834,0.06652410267278476,0.305390314976076,-0.9497831877917516
1653385396574564412,-0.01449337745267881,0.07206106188659857,0.30079582004780747,-0.9508517339793605
1653385396605438106,-0.014181713646157335,0.07675267308477228,0.2969357473950105,-0.9517021950649094
1653385396639514227,-0.013912532941084764,0.08208550883467729,0.2925203712891193,-0.9526280717296709
1653385396670473372,-0.0137298443647043,0.08678695136176175,0.28856217024791736,-0.9534208883535458
1653385396705295816,-0.013571133546671159,0.0914177248624911,0.28455942157282826,-0.9541931458092549
1653385396736805981,-0.013441120663892796,0.0956367793101555,0.2807323781963261,-0.9549147996291156
1653385396770529812,-0.013290215096712236,0.09992302438665736,0.2766097415632779,-0.9556808098169616
1653385396805219145,-0.013133590999048907,0.10361403465541183,0.2727940849037109,-0.9563864427371624
1653385396836968162,-0.01290129307831657,0.10683586351532304,0.26915210413836393,-0.957066768695755
1653385396869326572,-0.01257189580885841,0.10979001161235517,0.2654293535472496,-0.9577762573072164
1653385396905633699,-0.012117866311995039,0.11250281625165341,0.26152074265776054,-0.9585422133694607
1653385396934521936,-0.011608982858448224,0.11440927076933,0.2583524044916803,-0.9591818312355533
1653385396969502802,-0.010796816462315497,0.11629919948578114,0.2546038314241757,-0.9599660483461773
1653385397001333027,-0.009845162377857172,0.11763093031123865,0.25128928195640193,-0.9606871154469087
1653385397035839902,-0.008701499893677985,0.1186290745608072,0.2479925258886212,-0.961431814364299
1653385397070426042,-0.007489049961436441,0.11923371207682955,0.24488306186869668,-0.9621639787712213
1653385397102264477,-0.006112116764456151,0.11955718194925173,0.2415652304426712,-0.9629719423296768
1653385397134414073,-0.004790852042539392,0.11953780253582648,0.23848672687232592,-0.9637488483040263
