%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1653386139968230336,1500,1500,1426,1464,1513,1500,1500,1500
1653386139997166074,1500,1500,1426,1464,1513,1500,1500,1500
1653386140000726923,1500,1500,1425,1464,1513,1500,1500,1500
1653386140015935054,1500,1500,1425,1464,1513,1500,1500,1500
1653386140027123374,1500,1500,1425,1464,1513,1500,1500,1500
1653386140030109778,1500,1500,1425,1464,1513,1500,1500,1500
1653386140061457680,1500,1500,1425,1464,1513,1500,1500,1500
1653386140068332280,1500,1500,1425,1464,1513,1500,1500,1500
1653386140093105790,1500,1500,1425,1464,1513,1500,1500,1500
1653386140097790234,1500,1500,1425,1464,1513,1500,1500,1500
1653386140115696305,1500,1500,1425,1464,1513,1500,1500,1500
1653386140126742164,1500,1500,1425,1464,1513,1500,1500,1500
1653386140129512601,1500,1500,1425,1464,1513,1500,1500,1500
1653386140158264516,1500,1500,1425,1463,1513,1500,1500,1500
1653386140163414444,1500,1500,1425,1463,1513,1500,1500,1500
1653386140193275458,1500,1500,1425,1463,1513,1500,1500,1500
1653386140199162122,1500,1500,1425,1463,1513,1500,1500,1500
1653386140226749725,1500,1500,1425,1463,1513,1500,1500,1500
1653386140228887103,1500,1500,1425,1463,1513,1500,1500,1500
1653386140231340845,1500,1500,1425,1463,1513,1500,1500,1500
1653386140258676607,1500,1500,1425,1463,1513,1500,1500,1500
1653386140265036030,1500,1500,1425,1463,1513,1500,1500,1500
1653386140290831086,1500,1500,1425,1463,1513,1500,1500,1500
1653386140297450832,1500,1500,1425,1463,1513,1500,1500,1500
1653386140309763244,1500,1500,1425,1463,1513,1500,1500,1500
1653386140327424119,1500,1500,1425,1463,1513,1500,1500,1500
1653386140330512091,1500,1500,1425,1463,1513,1500,1500,1500
1653386140357629090,1500,1500,1425,1463,1513,1500,1500,1500
1653386140359355378,1500,1500,1425,1463,1513,1500,1500,1500
1653386140391580953,1500,1500,1425,1463,1513,1500,1500,1500
1653386140397780630,1500,1500,1425,1463,1513,1500,1500,1500
1653386140405690980,1500,1500,1425,1463,1513,1500,1500,1500
1653386140423344934,1500,1500,1425,1463,1513,1500,1500,1500
1653386140430137073,1500,1500,1425,1463,1513,1500,1500,1500
1653386140457720234,1500,1500,1425,1463,1513,1500,1500,1500
1653386140459813309,1500,1500,1425,1463,1513,1500,1500,1500
1653386140487866051,1500,1500,1425,1463,1513,1500,1500,1500
1653386140491609182,1500,1500,1425,1463,1513,1500,1500,1500
1653386140513252537,1500,1500,1425,1463,1513,1500,1500,1500
1653386140524660910,1500,1500,1425,1463,1513,1500,1500,1500
1653386140528796362,1500,1500,1425,1463,1513,1500,1500,1500
1653386140557839521,1500,1500,1425,1463,1513,1500,1500,1500
1653386140559496864,1500,1500,1424,1463,1513,1500,1500,1500
1653386140589246205,1500,1500,1424,1463,1513,1500,1500,1500
1653386140591713124,1500,1500,1424,1463,1513,1500,1500,1500
1653386140598051624,1500,1500,1424,1463,1513,1500,1500,1500
1653386140621443359,1500,1500,1424,1463,1513,1500,1500,1500
1653386140629578464,1500,1500,1425,1463,1513,1500,1500,1500
1653386140657833026,1500,1500,1425,1462,1513,1500,1500,1500
1653386140659920202,1500,1500,1425,1462,1513,1500,1500,1500
1653386140687134719,1500,1500,1425,1462,1513,1500,1500,1500
1653386140691757416,1500,1500,1425,1462,1513,1500,1500,1500
1653386140693590079,1500,1500,1425,1462,1513,1500,1500,1500
1653386140720918005,1500,1500,1425,1462,1513,1500,1500,1500
1653386140726806656,1500,1500,1426,1462,1513,1500,1500,1500
1653386140752926713,1500,1500,1426,1462,1513,1500,1500,1500
1653386140757535857,1500,1500,1426,1462,1513,1500,1500,1500
1653386140760010644,1500,1500,1426,1462,1513,1500,1500,1500
1653386140786986275,1500,1500,1426,1462,1513,1500,1500,1500
1653386140791507145,1500,1500,1426,1462,1513,1500,1500,1500
1653386140819498784,1500,1500,1426,1462,1513,1500,1500,1500
1653386140825682599,1500,1500,1426,1462,1513,1500,1500,1500
1653386140852792330,1500,1500,1426,1462,1513,1500,1500,1500
1653386140854630143,1500,1500,1426,1462,1513,1500,1500,1500
1653386140860074096,1500,1500,1426,1462,1513,1500,1500,1500
1653386140886601110,1500,1500,1426,1462,1513,1500,1500,1500
1653386140892053137,1500,1500,1426,1462,1513,1500,1500,1500
1653386140914096505,1500,1500,1426,1462,1513,1500,1500,1500
1653386140924774204,1500,1500,1426,1462,1513,1500,1500,1500
1653386140926479474,1500,1500,1426,1462,1513,1500,1500,1500
1653386140953129015,1500,1500,1426,1462,1513,1500,1500,1500
1653386140955086803,1500,1500,1426,1462,1513,1500,1500,1500
1653386140987012441,1500,1500,1426,1462,1513,1500,1500,1500
1653386140994342280,1500,1500,1426,1462,1513,1500,1500,1500
1653386141010559558,1500,1500,1426,1462,1513,1500,1500,1500
1653386141019378996,1500,1500,1426,1462,1513,1500,1500,1500
1653386141023238188,1500,1500,1425,1462,1513,1500,1500,1500
